Date,Species,Mean height_Control (cm),Mean height_Warming (cm)
4/26/2015,P. australia,12,14.5
5/9/2015,P. australia,25.5,24.75
5/22/2015,P. australia,32.25,26.25
6/6/2015,P. australia,38.5,34.25
6/22/2015,P. australia,46,35
7/2/2015,P. australia,47.5,37.75
7/18/2015,P. australia,50.5,42.75
8/1/2015,P. australia,64.5,60.5
8/13/2015,P. australia,88,86
9/19/2015,P. australia,113.25,112
10/16/2015,P. australia,132,122
10/31/2015,P. australia,125.25,103
4/26/2015,S. glauca,3.25,3.1667
5/9/2015,S. glauca,4.75,5.6667
5/22/2015,S. glauca,7,11.6667
6/6/2015,S. glauca,11,14.25
6/22/2015,S. glauca,16,23.25
7/2/2015,S. glauca,23.75,38.25
7/18/2015,S. glauca,35.75,52.5
8/1/2015,S. glauca,44.25,70.75
8/13/2015,S. glauca,52,80.25
9/19/2015,S. glauca,51,77
10/16/2015,S. glauca,50.5,84.5
10/31/2015,S. glauca,47.5,64.3333
4/25/2016,P. australia,12.25,13.75
5/21/2016,P. australia,42,30.25
6/9/2016,P. australia,52.75,41.5
7/9/2016,P. australia,62.25,46.5
7/25/2016,P. australia,68.25,53
8/5/2016,P. australia,91.25,83
9/4/2016,P. australia,127.5,109.5
9/20/2016,P. australia,123.5,100.5
10/3/2016,P. australia,128.75,109.5
11/3/2016,P. australia,120.5,82.5
4/25/2016,S. glauca,5.5,5.5
5/21/2016,S. glauca,6.75,8.5
6/9/2016,S. glauca,9.25,12.25
7/9/2016,S. glauca,14.25,21.25
7/25/2016,S. glauca,20.8,26.7
8/5/2016,S. glauca,24.25,32.25
9/4/2016,S. glauca,0,0
9/20/2016,S. glauca,0,0
10/3/2016,S. glauca,0,0
11/3/2016,S. glauca,0,0
5/4/2017,P. australia,37,27.5
5/19/2017,P. australia,49,33.25
6/7/2017,P. australia,54,42.5
6/28/2017,P. australia,54.75,41.75
7/29/2017,P. australia,68.25,54.5
8/11/2017,P. australia,83.75,70
8/26/2017,P. australia,97,76.25
9/6/2017,P. australia,114.75,81.25
9/23/2017,P. australia,122.5,100.5
10/12/2017,P. australia,105,78.75
10/29/2017,P. australia,95.25,75
5/4/2017,S. glauca,5,4.35
5/19/2017,S. glauca,6.75,9.375
6/7/2017,S. glauca,11.25,16.375
6/28/2017,S. glauca,23.75,34.5
7/29/2017,S. glauca,44.5,56
8/11/2017,S. glauca,51.5,59.5
8/26/2017,S. glauca,57.75,68.25
9/6/2017,S. glauca,61,67.5
9/23/2017,S. glauca,61.75,73.25
10/12/2017,S. glauca,60.5,65
10/29/2017,S. glauca,56.75,68.75
5/3/2018,P. australia,27.25,24
5/21/2018,P. australia,45.25,36.5
5/31/2018,P. australia,64.5,38.25
6/15/2018,P. australia,71.25,49
7/1/2018,P. australia,84.5,65
7/28/2018,P. australia,102.5,90
8/26/2018,P. australia,117.5,98.75
9/11/2018,P. australia,125,101.25
9/30/2018,P. australia,117.5,101.25
10/18/2018,P. australia,109.25,99.25
10/28/2018,P. australia,102.25,92.5
5/3/2018,S. glauca,2,NA
5/21/2018,S. glauca,10.25,4.5
5/31/2018,S. glauca,13.75,8.5
6/15/2018,S. glauca,18,11.75
7/1/2018,S. glauca,20.75,23.25
7/28/2018,S. glauca,48,27.625
8/26/2018,S. glauca,51.75,52
9/11/2018,S. glauca,55.5,62
9/30/2018,S. glauca,60.5,64.25
10/18/2018,S. glauca,54.5,64.25
10/28/2018,S. glauca,47.5,58.75
4/21/2019,P. australia,12,11.25
5/13/2019,P. australia,16,16
6/1/2019,P. australia,37,36.75
6/14/2019,P. australia,45.875,46.3125
7/1/2019,P. australia,54.75,55.875
7/15/2019,P. australia,63.625,65.4375
8/2/2019,P. australia,72.5,75
8/28/2019,P. australia,93,85.5
9/15/2019,P. australia,102.25,98.375
9/26/2019,P. australia,109,97
10/12/2019,P. australia,106.75,94.75
10/30/2019,P. australia,105,93
5/13/2019,S. glauca,1.75,2.5
6/1/2019,S. glauca,7.25,9
6/14/2019,S. glauca,10.5625,12.125
7/1/2019,S. glauca,13.875,15.25
7/15/2019,S. glauca,17.1875,18.375
8/2/2019,S. glauca,20.5,26.5
8/28/2019,S. glauca,28,37.5
9/15/2019,S. glauca,43.75,50
9/26/2019,S. glauca,48.6667,65
10/12/2019,S. glauca,49,60.5
10/30/2019,S. glauca,50,53
5/5/2020,P. australia,30.25,28.25
5/25/2020,P. australia,65,57.75
6/14/2020,P. australia,73.75,71.25
7/1/2020,P. australia,91.5,84.75
7/21/2020,P. australia,100.75,97
8/5/2020,P. australia,113,103.25
8/10/2020,P. australia,117,109.25
8/27/2020,P. australia,121.25,108
9/24/2020,P. australia,123.5,105
10/12/2020,P. australia,114.25,99.5
10/28/2020,P. australia,103.25,90.5
5/5/2020,S. glauca,5.6667,10.75
5/25/2020,S. glauca,12.3333,17.75
6/14/2020,S. glauca,21,32
7/1/2020,S. glauca,30,49.5
7/21/2020,S. glauca,42.3333,66
8/5/2020,S. glauca,68.3333,89
8/10/2020,S. glauca,76,89
8/27/2020,S. glauca,79.3333,92.25
9/24/2020,S. glauca,78.75,97.5
10/12/2020,S. glauca,67.3333,85.5
10/28/2020,S. glauca,61.3333,83.5
